SB_CODE,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
601,0.0,-0.11171254691866672,-0.22342509383733333,-0.335137640756,-0.44685018767466667,-0.5585627345933333
602,0.0,-0.09474402204633336,-0.18948804409266667,-0.284232066139,-0.37897608818533335,-0.47372011023166666
603,0.0,-0.029352738341166668,-0.058705476682333335,-0.0880582150235,-0.11741095336466667,-0.14676369170583334
604,0.0,-0.1467516236598334,-0.2935032473196667,-0.4402548709795,-0.5870064946393334,-0.7337581182991667
605,0.0,-0.014835415546166672,-0.029670831092333337,-0.0445062466385,-0.059341662184666674,-0.07417707773083333
606,0.0,-0.033640672553500006,-0.06728134510700001,-0.10092201766050002,-0.13456269021400002,-0.1682033627675
607,0.0,-0.011483884056833316,-0.02296776811366663,-0.03445165217049995,-0.04593553622733326,-0.05741942028416658
608,0.0,-0.03236811369966666,-0.06473622739933332,-0.09710434109899999,-0.12947245479866665,-0.16184056849833334
609,0.0,-0.004935068447833334,-0.009870136895666667,-0.014805205343500001,-0.019740273791333335,-0.024675342239166665
610,0.0,-0.08506719915883337,-0.1701343983176667,-0.2552015974765,-0.3402687966353334,-0.4253359957941667
611,0.0,-0.0062134517236666666,-0.012426903447333333,-0.018640355171,-0.024853806894666666,-0.031067258618333333
612,0.0,-0.06181619590216664,-0.12363239180433333,-0.1854485877065,-0.24726478360866666,-0.30908097951083335
613,0.0,0.0,0.0,0.0,0.0,0.0
614,0.0,-0.1799792193391666,-0.3599584386783333,-0.5399376580175,-0.7199168773566667,-0.8998960966958334
615,0.0,-0.0006327290364999999,-0.0012654580729999998,-0.0018981871094999997,-0.0025309161459999997,-0.0031636451825
616,0.0,-0.2539803770714999,-0.507960754143,-0.7619411312145,-1.015921508286,-1.2699018853575001
617,0.0,-0.04160261184516667,-0.08320522369033334,-0.12480783553550001,-0.16641044738066668,-0.20801305922583332
618,0.0,-0.02751482712799999,-0.055029654255999996,-0.082544481384,-0.11005930851199999,-0.13757413564
619,0.0,-0.054149267667666645,-0.10829853533533332,-0.162447803003,-0.21659707067066664,-0.27074633833833334
620,0.0,-0.11118395854850005,-0.222367917097,-0.3335518756455,-0.444735834194,-0.5559197927424999
621,0.0,0.0,0.0,0.0,0.0,0.0
622,0.0,0.0,0.0,0.0,0.0,0.0
623,0.0,-0.07979158467566666,-0.15958316935133332,-0.23937475402699998,-0.31916633870266664,-0.39895792337833336
624,0.0,0.0,0.0,0.0,0.0,0.0
625,0.0,-0.050495471577500006,-0.10099094315499998,-0.1514864147325,-0.20198188630999997,-0.2524773578875
626,0.0,0.0,0.0,0.0,0.0,0.0
627,0.0,-0.12161957821066671,-0.2432391564213333,-0.36485873463199997,-0.4864783128426666,-0.6080978910533332
628,0.0,0.0,0.0,0.0,0.0,0.0
629,0.0,-0.03751453821666667,-0.07502907643333334,-0.11254361465000001,-0.15005815286666668,-0.18757269108333333
630,0.0,0.0,0.0,0.0,0.0,0.0
